Station,N,FCN3 RMSE,HRES RMSE,FCN3 MSE,HRES MSE,FCN3 Bias,HRES Bias,ΔRMSE HRES−FCN3
SN88690,21,3.793965656862272,4.805736284186894,14.394175405450373,23.095101233150455,-3.433654647781735,-4.514938097908384,1.0117706273246219
SN90490,21,3.085465704466566,3.505933489092348,9.520098613439362,12.291569629939245,-1.9008019608164588,-2.4111797283566188,0.42046778462578205
SN90760,19,6.311431409412387,5.414330712688503,39.834166435717236,29.314977066361998,-5.665094906321743,-4.31972655865184,-0.8971006967238839
All Stations,61,4.543142764101202,4.6166211695045325,20.640146175005114,21.3131910227174,-3.600990032797954,-3.7298898191139345,0.07347840540333017
