Station,N,FCN3 RMSE,HRES RMSE,FCN3 MSE,HRES MSE,FCN3 Bias,HRES Bias,ΔRMSE HRES−FCN3
SN88690,91,3.368174682259381,4.170624713362494,11.344600690213083,17.39411049970998,-2.46772721174272,-3.55919440399596,0.8024500311031124
SN90490,91,2.767251558117194,3.1109934045997956,7.657681185902039,9.678279963463428,-1.7211800919347633,-2.062676844448397,0.3437418464826014
SN90760,91,3.68817879632641,4.136919014446499,13.602662833671724,17.11409893208899,-2.9924866152770337,-3.406859008340171,0.448740218120089
All Stations,273,3.2967127419995634,3.837815758790513,10.86831490326228,14.7288297984208,-2.393797972984839,-3.0095767522615096,0.5411030167909496
