Station,FCN3 RMSE,FCN3 MSE,FCN3 Bias,GraphCast RMSE,GraphCast MSE,GraphCast Bias,HRES RMSE,HRES MSE,HRES Bias,Pangu RMSE,Pangu MSE,Pangu Bias,ΔRMSE GraphCast−FCN3,ΔRMSE HRES−FCN3,ΔRMSE Pangu−FCN3
SN88690,3.4137120010679864,11.653429626235598,-2.6220349816175608,3.971789831743091,15.775114467537813,-3.195803560660436,5.295276908901123,28.039957541941426,-4.667173620370718,3.697181705092109,13.669152560467795,-2.8021982252597812,0.5580778306751046,1.8815649078331362,0.28346970402412275
SN90490,3.85817541088704,14.88551750117338,-3.009127965532704,3.702282668223352,13.706896955427023,-3.0232072620112227,4.005074274600345,16.040619945065476,-3.290621201050135,3.260032673183374,10.627813030223138,-2.390410103032619,-0.15589274266368802,0.14689886371330463,-0.5981427377036659
SN90760,7.1233163010911875,50.74163512539144,-5.537482840337872,7.593395361806058,57.659653120697755,-6.137450944788662,7.318726059501727,53.56375113402968,-5.580292273745125,7.611696197062865,57.93791899638128,-6.084647571893386,0.4700790607148706,0.19540975841053942,0.4883798959716774
All Stations,5.092791831598087,25.9365286399922,-3.736642516007026,5.404916544465965,29.213122852641902,-4.130358302009602,5.710031649678098,32.60446144032558,-4.510764724363883,5.251990969254519,27.58340914113102,-3.7710463884969547,0.31212471286787746,0.6172398180800105,0.15919913765643123
